comentario,negativo
"Excelente compra, todo fue según lo planeado.",0
"El tamaño es incorrecto, no lo recomiendo.",1
"Muy contento con la compra, el producto es tal como se describe.",0
"No vale lo que cuesta, muy decepcionado.",1
"La atención al cliente fue de primera, volveré a comprar.",0
"El producto llegó incompleto, muy mala experiencia.",1
"Cumple con lo que esperaba, muy satisfecho.",0
"Producto defectuoso, no duró ni una semana.",1
"Me sorprendió la calidad, realmente satisfecho.",0
"No recomendaría este producto, es una pérdida de dinero.",1
"Muy buena relación calidad-precio, muy contento.",0
"El producto es frágil, no vale la pena.",1
"Todo salió como esperaba, muy buen servicio.",0
"Muy mala experiencia, no recibí lo que pedí.",1
"El producto es excelente, lo recomendaría sin dudarlo.",0
"No funcionó como debería, muy frustrante.",1
"El mejor producto que he comprado, muy feliz con mi compra.",0
"Muy caro para la calidad que ofrece, no lo recomendaría.",1
"Todo fue perfecto, el producto es de excelente calidad.",0
"El producto se rompió al segundo día de uso, muy decepcionado.",1
"Gran producto, llegó en perfectas condiciones.",0
"No estoy satisfecho, no cumple con lo que promete.",1
"Muy contento con el servicio y el producto, lo recomiendo.",0
"Producto de baja calidad, no vale lo que cuesta.",1
"Todo llegó a tiempo y en buen estado, muy satisfecho.",0
"Muy mala calidad, se rompió fácilmente.",1
"El producto es tal como se describe, muy feliz con mi compra.",0
"El servicio fue pésimo, no me ayudaron en nada.",1
"Gran calidad por el precio, realmente satisfecho.",0
"El producto no funciona correctamente, no lo recomendaría.",1
"El mejor servicio que he recibido, muy profesional.",0
"No recomendaría este producto, muy insatisfecho.",1
"Este producto no cumple con las expectativas, no lo compraria de nuevo.",1
"El servicio fue excelente, sin duda lo compraría otra vez.",0
"El producto llegó a tiempo y en perfectas condiciones, lo volvería a comprar.",0
"No me gustó la calidad, no lo compraría nuevamente.",1
"Lo compraría una y otra vez, es perfecto para mis necesidades.",0
"Es una pérdida de dinero, no lo recomendaría a nadie.",1
"Me encanta, lo compraría de nuevo sin dudarlo.",0
"El producto se descompuso al primer uso, no lo compraria nunca más.",1
"Muy satisfecho con la compra, lo volvería a comprar.",0
"No compraria este producto, la calidad es muy baja.",1
"Definitivamente lo compraría de nuevo, excelente calidad.",0
"No lo compraría ni aunque fuera más barato, es una decepción.",1
"Lo recomendaría y lo compraría otra vez, es excelente.",0
"No cumple con lo que promete, no lo compraria ni para regalar.",1
"Estoy muy contento, compraría más de estos productos.",0
"El peor producto que he comprado, no lo volvería a comprar.",1
"Me encantó, compraría otro para regalar.",0
"El envío fue rápido, pero el producto es malo, no lo compraria otra vez.",1
"Lo volvería a comprar sin dudarlo, superó mis expectativas.",0
"No lo recomendaría, no lo compraría de nuevo.",1
"El producto es de baja calidad, no compraria nada más de esta marca.",1
"Todo perfecto, lo volvería a comprar.",0
"Producto defectuoso, no lo compraria de nuevo.",1
"Muy buena calidad, lo compraría otra vez.",0
"No compraria este producto, muy decepcionado con la compra.",1
"Me encantó el producto, lo compraría para regalar.",0
"El producto no es lo que esperaba, no lo compraria nuevamente.",1
"Buena compra, definitivamente lo volvería a comprar.",0
"No compraria este producto, no vale la pena.",1
"Excelente calidad, lo compraría sin pensarlo dos veces.",0
"Producto de mala calidad, no lo compraría otra vez.",1
"Muy buen servicio, lo volvería a comprar.",0
"No lo compraria de nuevo, demasiado caro para lo que ofrece.",1
"Es exactamente lo que buscaba, lo compraría de nuevo.",0
"No lo recomendaría, no lo compraria de nuevo.",1
"Lo compraría una y otra vez, es fantástico.",0
"Es un mal producto, no lo compraria de nuevo.",1
"Todo estuvo bien, lo volvería a comprar.",0
"El producto es malo, no lo compraria de nuevo.",1
"Me gustó mucho, lo compraría otra vez.",0
"El producto no cumple con lo prometido, no lo compraria de nuevo.",1
"No lo volvería a comprar, me decepcionó mucho.",1
"No recomiendo este producto, no vale la pena.",1
"Ni lo volvería a comprar ni lo recomendaría.",1
"No lo compraría nuevamente, es de muy mala calidad.",1
"No me gustó, no lo compraría otra vez.",1
"No es lo que esperaba, no lo volvería a comprar.",1
"No me impresionó, no lo compraría otra vez.",1
"No tiene buena calidad, no lo compraría de nuevo.",1
"No volveré a comprar de esta marca.",1
"No lo recomendaría, no lo volvería a comprar.",1
"Lo compraría de nuevo sin pensarlo.",0
"Me gustó tanto que lo volvería a comprar.",0
"Definitivamente lo recomendaría, lo compraría otra vez.",0
"Me encanta, lo compraría de nuevo sin dudarlo.",0
"Excelente calidad, lo compraría de nuevo.",0
"Lo volvería a comprar, es perfecto.",0
"Lo compraría una y otra vez, es fantástico.",0
"Lo recomendaría y lo compraría otra vez.",0
"Lo volvería a comprar sin dudarlo.",0
"Lo compraría de nuevo, muy satisfecho con la compra.",0
