ingredientes,receta
"pollo,mostaza,miel","Pollo a la mostaza"
"carne de cerdo,piña,salsa barbacoa","Cerdo agridulce"
"ternera,champiñones,crema","Ternera con champiñones"
"fideos,pollo,maní","Fideos con pollo y maní"
"carne de cordero,romero,ajo","Cordero al romero"
"espárragos,queso,aceite de oliva","Espárragos al horno"
"pasta,salsa Alfredo,pollo","Pasta Alfredo con pollo"
"camarones,limón,ajo","Camarones al ajillo"
"harina,agua,aceite,sal","Empanadas"
"pollo,limón,tomillo","Pollo al tomillo"
"champiñones,ajo,crema","Crema de champiñones"
"camarones,aguacate,limón","Ceviche de camarones"
"aguacate,tomate,cebolla","Guacamole"
"manzana,zanahoria,nuez","Ensalada de manzana y zanahoria"
"arroz,salmón,aguacate","Sushi de salmón"
"pollo,salsa teriyaki,arroz","Pollo teriyaki"
"calabaza,aceite de oliva,sal","Calabaza asada"
"carne molida,pasta,salsa de tomate","Espagueti a la boloñesa"
"pechuga de pollo,tomate,queso mozzarella","Pollo a la parmesana"
"salchicha,patata,cebolla","Salchichas con puré"
"ternera,cebolla,soja","Ternera al estilo asiático"
"zanahoria,patata,apio","Crema de verduras"
"calabaza,cebolla,aceite de oliva","Sopa de calabaza"
"berenjena,queso parmesano,tomate","Berenjena a la parmesana"
"pollo,manzana,nueces","Ensalada de pollo y manzana"
"aguacate,tomate,limón","Guacamole"
"papa,queso,aceite de oliva","Papas al horno con queso"
"harina,huevos,leche","Crepes"
"manzana,canela,harina","Tarta de manzana"
"fideos,soja,pollo","Fideos con pollo"
"carne de res,zanahoria,patata","Estofado de carne"
"lentejas,cebolla,ajo","Lentejas guisadas"
"atún,mayonesa,pan","Sándwich de atún"
"pasta,ajo,aceite de oliva","Pasta al aglio e olio"
"pollo,limón,orégano","Pollo al horno con limón"
"garbanzos,ajo,limón","Hummus"
"pimiento,queso crema,pan","Pimientos rellenos"
"arroz,salmón,alga","Sushi de salmón"
"champiñones,ajo,aceite de oliva","Champiñones al ajillo"
"pasta,crema de leche,jamón","Pasta carbonara"
"pechuga de pollo,pimiento,cebolla","Fajitas de pollo"
"huevos,berenjena,pimiento,aceite de oliva","Tortilla de berenjena"
"yogur,pepino,ajo","Tzatziki"
"calabaza,queso,harina","Buñuelos de calabaza"
"manzana,zanahoria,nueces","Ensalada de manzana y zanahoria"
"harina,levadura,sal","Pan casero"
"pollo,tomate,queso","Pollo parmesano"
"arroz,coco,pasas","Arroz con coco"
"carne molida,cebolla,pimiento","Albóndigas"
"pasta,espinaca,queso ricotta","Raviolis de espinaca y ricotta"
"pepino,tomate,aceitunas","Ensalada griega"
"pollo,salsa teriyaki,arroz","Pollo teriyaki"
"calabacín,queso parmesano,ajo","Calabacín gratinado"
"berenjena,queso mozzarella,salsa de tomate","Lasaña de berenjena"
"pollo,especias,arroz","Pollo al curry"
"frijoles,arroz,tomate","Frijoles con arroz"
"arroz,mariscos,azafrán","Paella de mariscos"
"espinacas,queso feta,masa filo","Spanakopita"
"carne de res,mostaza,miel","Carne a la mostaza"
"camarones,limón,ajo","Camarones al ajillo"
"berenjena,soja,ajo","Berenjenas al estilo asiático"
"patatas,ajo,aceite de oliva","Patatas bravas"
"zanahoria,apio,cebolla","Sofrito de verduras"
"pimiento,aceitunas,queso","Pizza vegetariana"
"arroz,curry,pollo","Arroz al curry"
"pollo,albahaca,mozzarella","Pollo caprese"
"yogur,plátano,fresas","Smoothie de frutas"
"carne molida,tomate,especias","Chili con carne"
"pescado,limón,especias","Pescado al horno"
"quinoa,aguacate,tomate","Ensalada de quinoa"
"pasta,tomate,albahaca","Pasta con salsa de tomate"
"carne molida,queso,pan","Hamburguesa casera"
"garbanzos,espinacas,ajo","Garbanzos con espinacas"
"arroz,coco,plátano","Arroz con plátano"
"pollo,leche de coco,curry","Curry de pollo"
"arroz,jamón,guisantes","Arroz a la cubana"
"pimientos,arroz,carne molida","Pimientos rellenos de arroz"
